"id";"garden";"species";"compound";"time";"diam";"can.be.presented"
13;1;1;1;0;8,1;TRUE
14;1;1;1;0;8,2;TRUE
15;1;1;1;0;8,1;TRUE
16;1;1;1;0;8,2;TRUE
17;1;1;1;0;8,2;TRUE
18;1;1;1;0;8;TRUE
19;1;1;1;0;8,3;TRUE
20;1;1;1;0;8,3;TRUE
21;1;1;1;0;8,4;TRUE
22;1;1;1;0;8,1;TRUE
23;1;1;1;0;8,1;TRUE
24;1;1;1;0;8,6;TRUE
25;1;1;1;0;7,9;TRUE
26;1;1;1;0;8,1;TRUE
27;1;1;1;0;8,5;TRUE
28;2;1;1;0;9,4;TRUE
29;2;1;1;0;9,5;TRUE
30;2;1;1;0;8,9;TRUE
31;2;1;1;0;8,4;TRUE
32;2;1;1;0;9,3;TRUE
33;2;1;1;0;9,2;TRUE
34;2;1;1;0;9,6;TRUE
35;2;1;1;0;9;TRUE
36;2;1;1;0;8,8;TRUE
37;2;1;1;0;9,3;TRUE
38;2;1;1;0;9,1;TRUE
39;2;1;1;0;9,8;TRUE
40;2;1;1;0;9,5;TRUE
41;2;1;1;0;9,3;TRUE
42;2;1;1;0;9,5;TRUE
43;1;2;1;0;10,8;TRUE
44;1;2;1;0;10,8;TRUE
45;1;2;1;0;11,1;TRUE
46;1;2;1;0;10,8;TRUE
47;1;2;1;0;10,9;TRUE
48;1;2;1;0;10,8;TRUE
49;1;2;1;0;10,9;TRUE
50;1;2;1;0;10,8;TRUE
51;1;2;1;0;10,9;TRUE
52;1;2;1;0;11;TRUE
53;1;2;1;0;10,4;TRUE
54;1;2;1;0;10,5;TRUE
55;1;2;1;0;10,5;TRUE
56;1;2;1;0;10,3;TRUE
57;1;2;1;0;10,2;TRUE
58;2;2;1;0;11,2;TRUE
59;2;2;1;0;11,5;TRUE
60;2;2;1;0;11,2;TRUE
61;2;2;1;0;11,9;TRUE
62;2;2;1;0;10,8;TRUE
63;2;2;1;0;11,8;TRUE
64;2;2;1;0;11,1;TRUE
65;2;2;1;0;10,8;TRUE
66;2;2;1;0;12,2;TRUE
67;2;2;1;0;11,3;TRUE
68;2;2;1;0;12,5;TRUE
69;2;2;1;0;11,6;TRUE
70;2;2;1;0;11,2;TRUE
71;2;2;1;0;11,6;TRUE
72;2;2;1;0;12,1;TRUE
73;1;1;2;0;8,2;TRUE
74;1;1;2;0;8;TRUE
75;1;1;2;0;8,4;TRUE
76;1;1;2;0;8,2;TRUE
77;1;1;2;0;8,1;TRUE
78;1;1;2;0;8,1;TRUE
79;1;1;2;0;8,3;TRUE
80;1;1;2;0;8,7;TRUE
81;1;1;2;0;8,2;TRUE
82;1;1;2;0;8;TRUE
83;1;1;2;0;8,3;TRUE
84;1;1;2;0;8,2;TRUE
85;1;1;2;0;8,1;TRUE
86;1;1;2;0;8,2;TRUE
87;1;1;2;0;8,2;TRUE
88;2;1;2;0;8,9;TRUE
89;2;1;2;0;9,6;TRUE
90;2;1;2;0;9,4;TRUE
91;2;1;2;0;9,4;TRUE
92;2;1;2;0;9,4;TRUE
93;2;1;2;0;9,8;TRUE
94;2;1;2;0;8,8;TRUE
95;2;1;2;0;9,3;TRUE
96;2;1;2;0;9,4;TRUE
97;2;1;2;0;9,2;TRUE
98;2;1;2;0;9,1;TRUE
99;2;1;2;0;8,9;TRUE
100;2;1;2;0;9,9;TRUE
101;2;1;2;0;9,3;TRUE
102;2;1;2;0;9,4;TRUE
103;1;2;2;0;10,4;TRUE
104;1;2;2;0;10;TRUE
105;1;2;2;0;10,2;TRUE
106;1;2;2;0;11,1;TRUE
107;1;2;2;0;10,1;TRUE
108;1;2;2;0;11;TRUE
109;1;2;2;0;10,9;TRUE
110;1;2;2;0;11;TRUE
111;1;2;2;0;10,8;TRUE
112;1;2;2;0;10,5;TRUE
113;1;2;2;0;10,2;TRUE
114;1;2;2;0;10,6;TRUE
115;1;2;2;0;10,8;TRUE
116;1;2;2;0;10,6;TRUE
117;1;2;2;0;10,7;TRUE
118;2;2;2;0;12;TRUE
119;2;2;2;0;12,2;TRUE
120;2;2;2;0;11;TRUE
121;2;2;2;0;11,2;TRUE
122;2;2;2;0;11,6;TRUE
123;2;2;2;0;11,4;TRUE
124;2;2;2;0;12,3;TRUE
125;2;2;2;0;11,6;TRUE
126;2;2;2;0;11,3;TRUE
127;2;2;2;0;11,6;TRUE
128;2;2;2;0;11,6;TRUE
129;2;2;2;0;11,6;TRUE
130;2;2;2;0;11,8;TRUE
131;2;2;2;0;11,4;TRUE
132;2;2;2;0;11,2;TRUE
133;1;1;3;0;8,5;TRUE
134;1;1;3;0;7,8;TRUE
135;1;1;3;0;7,9;TRUE
136;1;1;3;0;8,2;TRUE
137;1;1;3;0;8,5;TRUE
138;1;1;3;0;8,2;TRUE
139;1;1;3;0;8,2;TRUE
140;1;1;3;0;8,3;TRUE
141;1;1;3;0;7,9;TRUE
142;1;1;3;0;8,1;TRUE
143;1;1;3;0;8,4;TRUE
144;1;1;3;0;8,5;TRUE
