"id";"garden";"species";"compound";"time";"diam";"can.be.presented"
3733;1;1;1;0;8,5;TRUE
3734;1;1;1;0;7,8;TRUE
3735;1;1;1;0;8,3;TRUE
3736;1;1;1;0;8,4;TRUE
3737;1;1;1;0;8,3;TRUE
3738;1;1;1;0;8,1;TRUE
3739;1;1;1;0;8;TRUE
3740;1;1;1;0;8,4;TRUE
3741;1;1;1;0;8,1;TRUE
3742;1;1;1;0;8,3;TRUE
3743;1;1;1;0;8,3;TRUE
3744;1;1;1;0;8;TRUE
3745;1;1;1;0;8,2;TRUE
3746;1;1;1;0;8,5;TRUE
3747;1;1;1;0;8,3;TRUE
3748;1;1;1;0;8,2;TRUE
3749;1;1;1;0;7,9;TRUE
3750;1;1;1;0;8,3;TRUE
3751;1;1;1;0;8,2;TRUE
3752;1;1;1;0;8,2;TRUE
3753;1;1;1;0;8,2;TRUE
3754;1;1;1;0;8;TRUE
3755;1;1;1;0;8,3;TRUE
3756;1;1;1;0;8,1;TRUE
3757;1;1;1;0;8,5;TRUE
3758;1;1;1;0;8,5;TRUE
3759;1;1;1;0;8;TRUE
3760;1;1;1;0;7,9;TRUE
3761;1;1;1;0;8;TRUE
3762;1;1;1;0;8,2;TRUE
3763;1;1;1;0;8,1;TRUE
3764;1;1;1;0;8,3;TRUE
3765;1;1;1;0;8,1;TRUE
3766;1;1;1;0;8,2;TRUE
3767;1;1;1;0;8,5;TRUE
3768;1;1;1;0;8,1;TRUE
3769;1;1;1;0;8;TRUE
3770;1;1;1;0;7,9;TRUE
3771;1;1;1;0;8,3;TRUE
3772;1;1;1;0;8,4;TRUE
3773;2;1;1;0;9,2;TRUE
3774;2;1;1;0;8,8;TRUE
3775;2;1;1;0;9,7;TRUE
3776;2;1;1;0;9,5;TRUE
3777;2;1;1;0;9,2;TRUE
3778;2;1;1;0;9,5;TRUE
3779;2;1;1;0;9,9;TRUE
3780;2;1;1;0;9;TRUE
3781;2;1;1;0;9,5;TRUE
3782;2;1;1;0;9,4;TRUE
3783;2;1;1;0;9,5;TRUE
3784;2;1;1;0;8,7;TRUE
3785;2;1;1;0;9,1;TRUE
3786;2;1;1;0;8,9;TRUE
3787;2;1;1;0;8,9;TRUE
3788;2;1;1;0;9,3;TRUE
3789;2;1;1;0;9,2;TRUE
3790;2;1;1;0;8,9;TRUE
3791;2;1;1;0;9,2;TRUE
3792;2;1;1;0;9;TRUE
3793;2;1;1;0;9,5;TRUE
3794;2;1;1;0;9,3;TRUE
3795;2;1;1;0;9,1;TRUE
3796;2;1;1;0;9,2;TRUE
3797;2;1;1;0;9,1;TRUE
3798;2;1;1;0;9,4;TRUE
3799;2;1;1;0;9,3;TRUE
3800;2;1;1;0;9,3;TRUE
3801;2;1;1;0;8,7;TRUE
3802;2;1;1;0;9,1;TRUE
3803;2;1;1;0;9,2;TRUE
3804;2;1;1;0;8,4;TRUE
3805;2;1;1;0;9,2;TRUE
3806;2;1;1;0;9,2;TRUE
3807;2;1;1;0;8,5;TRUE
3808;2;1;1;0;8,8;TRUE
3809;2;1;1;0;8,6;TRUE
3810;2;1;1;0;9,5;TRUE
3811;2;1;1;0;9,2;TRUE
3812;2;1;1;0;9,1;TRUE
3813;1;2;1;0;10,4;TRUE
3814;1;2;1;0;11,4;TRUE
3815;1;2;1;0;10,4;TRUE
3816;1;2;1;0;10,3;TRUE
3817;1;2;1;0;10,2;TRUE
3818;1;2;1;0;10,8;TRUE
3819;1;2;1;0;10,3;TRUE
3820;1;2;1;0;10,5;TRUE
3821;1;2;1;0;10,1;TRUE
3822;1;2;1;0;10,6;TRUE
3823;1;2;1;0;11;TRUE
3824;1;2;1;0;10,6;TRUE
3825;1;2;1;0;11,1;TRUE
3826;1;2;1;0;10,3;TRUE
3827;1;2;1;0;10,5;TRUE
3828;1;2;1;0;10,8;TRUE
3829;1;2;1;0;10,9;TRUE
3830;1;2;1;0;10,7;TRUE
3831;1;2;1;0;10,3;TRUE
3832;1;2;1;0;10,5;TRUE
3833;1;2;1;0;10,5;TRUE
3834;1;2;1;0;10,4;TRUE
3835;1;2;1;0;10,2;TRUE
3836;1;2;1;0;10,6;TRUE
3837;1;2;1;0;11,2;TRUE
3838;1;2;1;0;10,5;TRUE
3839;1;2;1;0;10,8;TRUE
3840;1;2;1;0;11,1;TRUE
3841;1;2;1;0;10,7;TRUE
3842;1;2;1;0;10,8;TRUE
3843;1;2;1;0;10,5;TRUE
3844;1;2;1;0;10,7;TRUE
3845;1;2;1;0;10,2;TRUE
3846;1;2;1;0;10,5;TRUE
3847;1;2;1;0;10,5;TRUE
3848;1;2;1;0;10,4;TRUE
3849;1;2;1;0;10,7;TRUE
3850;1;2;1;0;10,5;TRUE
3851;1;2;1;0;10,5;TRUE
3852;1;2;1;0;11,3;TRUE
3853;2;2;1;0;11,6;TRUE
3854;2;2;1;0;11,2;TRUE
3855;2;2;1;0;11,7;TRUE
3856;2;2;1;0;11,7;TRUE
3857;2;2;1;0;12;TRUE
3858;2;2;1;0;10,6;TRUE
3859;2;2;1;0;10,9;TRUE
3860;2;2;1;0;10,8;TRUE
3861;2;2;1;0;11,7;TRUE
3862;2;2;1;0;12,1;TRUE
